bootstrap,fit_succeeded,training_concordance,test_concordance,optimism,"Age, per 10-year increase",EF 20% versus EF 40%,EF 30% versus EF 40%,EF 50% versus EF 40%,EF 60% versus EF 40%,"Serum creatinine, per doubling","Serum sodium, per 5-mEq/L increase",Male versus female
44,TRUE,0.8230187622514702,0.7429655238644003,0.0800532383870699,1.7343839426098842,10.455732766338024,1.6809152958663813,1.0846993182685232,1.2805015559387585,1.471715699783611,0.637132037040302,0.587240475017584
45,TRUE,0.7709432505469052,0.7380677998655527,0.03287545068135245,1.8526343795998674,5.234715869309341,1.4442673306648675,1.0158598261097702,1.2061312110508688,1.4220300846397567,0.7346904750090332,0.8883694706365289
46,TRUE,0.7386004514672686,0.7439258619033899,-0.005325410436121336,1.4602129514019189,4.86360896408518,1.173655632522731,1.07088659403716,0.8381609719836897,1.8950304943710161,0.8720332245160763,0.468395351161165
47,TRUE,0.7705569607185259,0.724767118025545,0.04578984269298081,1.493270636187329,5.0532332392146255,0.7338492762249736,1.1905263675913085,0.9598543925111356,1.4921558966209088,0.7817471751319565,1.3892921136131302
48,TRUE,0.7527814864263462,0.7406607125708249,0.01212077385552135,1.3831073090017285,5.110518060799946,1.9023619195507944,0.7944473133680521,0.8657994504030682,2.6167912185801416,1.0320133151358866,0.7231470548247121
49,TRUE,0.7535951327433628,0.7269278786132719,0.026667254130090856,1.568139987547785,2.7627970838107285,1.2169493791749217,0.91254998784001,0.7032565236037421,2.435588291741137,1.1226159656644217,1.1655855559747659
50,TRUE,0.7659690876761045,0.7434937097858446,0.022475377890259884,1.5201471327568772,4.27106450992925,1.3104072534161875,1.0116283486265552,0.9336877563478382,1.4850671996413616,0.7957568880914039,0.9686554238713728
51,TRUE,0.7502172024326672,0.7426294055507539,0.007587796881913356,1.8834140749412611,6.070943008327016,1.5258745735480916,0.9414735399037407,0.8662185564089894,1.6486531838800937,0.8452260748933693,0.5026417114843947
52,TRUE,0.7221260815822003,0.7265917602996255,-0.004465678717425203,1.4118563799686266,7.854821633488936,1.4669638531923452,1.2564311619819697,1.7673920807347536,1.16430930348908,0.8982738694018104,0.9989235004570961
53,TRUE,0.763077501527471,0.737203495630462,0.025874005897009056,1.5284859373315098,3.6200225781881183,1.5540049402937843,0.7285947377581703,0.5457907473182343,2.0395830429190243,0.8261973936471976,0.8315385362826729
54,TRUE,0.7368562231759657,0.728224334965908,0.00863188821005767,1.759253221758127,2.3739264331951855,1.2433584070883485,0.9107829565708486,0.7843886783571056,1.7276848274787946,0.9013483158275972,0.60770105037133
